id;company_name;business_register_number;unique_identification_number;business_domicile;business_email;business_phone;country;city;manager;business_logo;business_logo_content_type;map_locator;map_locator_content_type
1;unethically gratefully without;nor;keenly ignorant;gee weekly;"EZ2k@by.(#";while till;SENEGAL;Lake Ridge;radiant subtract;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;provided regularly;unwitting sympathetically via;defenseless unto mmm;location;"2owpn]@!/#E.tIeuI{";ouch;SENEGAL;Blaine;deeply rostrum prince;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;wholly opt;why diffract;geez;even ick ha;"%@^.}nM";quirkily balloon;MALI;Wisokyport;upstage;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;film times meh;phooey propel;false icy;sweaty hive;"?uFS@6eyK1.^";where pacemaker huzzah;CAMEROON;Marciamouth;geez;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;minty roof uh-huh;angry damaged for;abaft gosh;woot beneath meh;")?9y-Y@\+nx5M.r3A)";diligently geez phooey;SENEGAL;West Filibertoberg;accessorize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;weary phew;dazzle bludgeon the;abnormally likewise;measurement cool atop;"k3z+z@Mb^:.<3,";which clot volunteer;CAMEROON;Schmittboro;oh absent;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;demo trusty;duh grovel socialize;um along;made-up strictly;"FA?^K=@*.V*";hmph pish;CAMEROON;Schmelerburgh;ouch meanwhile bah;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;nor ew;yum;searchingly for if;growing biology lest;"W@&NCKa.tX}<";gee wrongly nickname;MALI;Bergnaumton;worrisome;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;geez every why;brr immediately aha;fooey;barring;"HJ@Zdh.dM6X";sans eek meanwhile;COTE_IVOIRE;Edwinville;nuzzle hyacinth uncouple;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;blackbird haunting;venture since apud;slapstick properly on;forked after flute;"z|@$X/OY.t";offensively;CAMEROON;DuBuquechester;hungrily fatally forenenst;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
