id;start_date;end_date;language
1;2024-01-16T10:34:33;2024-01-16T19:43:33;ENGLISH
2;2024-01-17T08:19:02;2024-01-17T00:27:16;FRENCH
3;2024-01-16T11:50:56;2024-01-17T08:39:20;FRENCH
4;2024-01-17T03:24:40;2024-01-16T11:58:18;SPANISH
5;2024-01-16T17:52:08;2024-01-16T20:05:20;ENGLISH
6;2024-01-16T12:45:10;2024-01-16T13:49:02;SPANISH
7;2024-01-16T18:17:45;2024-01-17T02:02:55;ENGLISH
8;2024-01-16T13:08:58;2024-01-16T13:26:54;FRENCH
9;2024-01-17T02:02:26;2024-01-16T10:55:22;FRENCH
10;2024-01-16T16:01:32;2024-01-16T12:19:12;ENGLISH
