id;street_address;postal_code;city;state_province
1;quirkily although valiantly;foxglove mockingly blah;Aspen Hill;terribly marten
2;eminent fine;finally whereas;West Rylanborough;woot
3;like;gee squirt indeed;Lake Don;consent nutritious
4;incidentally;bootie revivify whirlwind;New Dave;whereas pro hammer
5;coaxingly;naming;Maximuschester;embarrassment sane
6;provided mechanism;willfully toward;Port Careyport;experienced elucidate blah
7;thankfully or psst;underneath;New Odafort;hence whenever
8;boohoo;however meanwhile;Port Jacksonport;regularly
9;behove phooey rumble;invite flaky humble;Westside;via inasmuch
10;rescue;authorized;North Kavoncester;lighting frizzle alongside
